run,init_family,label_type,train_seed,n_rollout_episodes,total_reward_mean,total_reward_sd,reward_min,reward_max,slope_change_pct_mean,cont_change_mean,baimu_area_change_ha_mean,total_rewards
pairwise_transfer3035_w100,transfer,pairwise,3035,5,52.47113064948655,14.674065792341,35.9202801885486,66.2838055137831,-0.3928646459340194,0.014632439760353399,-129.63938243141413,"35.9202801885486;66.2838055137831;37.3183136719915;63.2794902739126;59.553763599197"
return_transfer3051_w100,transfer,return_20x16_h5,3051,5,51.801093870098626,5.79477309692342,46.3625936955055,61.479114228596,-0.31530105237584644,0.02389469541260336,171.6780498689437,"51.0708634743785;51.5272300083016;46.3625936955055;48.5656679437115;61.479114228596"
pairwise_scratch3035_w100,scratch,pairwise,3035,5,47.43689500899132,12.4597842074668,35.1939335673135,64.5326760839366,-0.36418402869515426,0.024664363493243524,102.9601026052928,"38.0131815744769;56.0301206230252;64.5326760839366;35.1939335673135;43.4145631962044"
return_scratch3051_w100,scratch,return_20x16_h5,3051,5,46.36439409531053,13.234416852097,26.8685138222875,59.1297344130002,-0.24284558623790822,0.03077797699742,479.52022835369587,"52.7585777055128;59.1297344130002;38.8966785815626;54.1684659541895;26.8685138222875"
