budget,family,episodes,reward_mean,reward_sd,slope_pct_mean,cont_mean,baimu_ha_mean,checkpoint_mean_rewards
5,transfer,15,41.6380,13.6197,-0.3041,0.0236,195.4612,"54.3024;41.6741;28.9374"
5,scratch,15,50.3654,18.2766,-0.2679,0.0275,370.3715,"52.2392;68.0067;30.8502"
10,transfer,15,44.3382,17.4339,-0.3043,0.0217,117.2531,"56.1703;55.2144;21.6300"
10,scratch,15,47.7970,12.0601,-0.2386,0.0276,363.7489,"49.6388;57.7731;35.9792"
20,transfer,15,44.7080,19.4261,-0.3030,0.0218,111.3393,"58.6847;53.4071;22.0322"
20,scratch,15,40.4596,12.4674,-0.2418,0.0273,373.4691,"53.4007;40.7176;27.2606"
