section,mode,train_seed,weight,n_episodes,total_reward_mean,total_reward_sd,reward_min,reward_max,slope_change_pct_mean,cont_change_mean,baimu_area_change_ha_mean,checkpoint_mean_reward_sd,checkpoint_mean_rewards
single_checkpoint_sweep,transfer,3036,0.00,5,28.752348764799535,14.1435372544487,11.8927419230942,44.1330120216875,-0.25683233697344093,0.0164254165391176,23.214975095307828,,
single_checkpoint_sweep,transfer,3036,0.05,5,29.38897056789618,5.32582426149014,21.3602066005101,35.8874993207169,-0.2644062783252611,0.016530371277386723,22.231742775771618,,
single_checkpoint_sweep,transfer,3036,0.10,5,29.048102448774028,7.41676836077866,21.8594603432674,41.067889805979,-0.2639458570124734,0.01644290899549574,36.47001914041758,,
single_checkpoint_sweep,transfer,3036,0.20,5,28.173194502774486,4.34263458874127,20.4833168422822,31.0582914607742,-0.2739895218747146,0.016407924082739368,-24.511338355433942,,
single_checkpoint_sweep,transfer,3036,0.50,5,28.162343889912314,6.03414554975051,17.5876993923432,32.7205330626602,-0.29276346431156375,0.01679275812305949,32.70400013199091,,
single_checkpoint_sweep,transfer,3036,1.00,5,33.66595616851978,5.16688423991419,27.7427268611503,37.940218035623,-0.36303966796332154,0.01402020378711688,-4.100173184013367,,
family_default_vs_value,transfer,,0.10,15,28.2480931304568,7.10161345954682,17.3266016889803,41.067889805979,-0.267894266792148,0.0141980437602952,-66.8369450434486,6.07911428724422,"33.8875933628709;29.048102448774;21.8085835797255"
family_default_vs_value,transfer,,1.00,15,37.8893925916614,14.1352633600858,20.4865954196929,66.2838055137831,-0.3424219820891,0.0172300695325141,5.30178919647057,12.9953628799359,"52.4711306494865;33.6659561685198;27.531090956978"
family_default_vs_value,scratch,,0.10,15,35.7007239415846,21.897540980278,7.13375489766855,70.7277540677464,-0.142499942211908,0.0076325417996823,-100.190494961416,24.5270763765022,"60.8587691682365;34.3858944133879;11.8575082431294"
family_default_vs_value,scratch,,1.00,15,40.2110803350696,13.6594641971396,22.6068224649475,64.5326760839366,-0.30525395814417,0.026323231439775,262.059208475224,9.41814422770678,"47.4368950089913;43.6367909318717;29.5595550643458"
