comparison_key,label_type,label_budget,episodes_transfer,episodes_scratch,transfer_reward_mean,scratch_reward_mean,reward_effect_transfer_minus_scratch,transfer_reward_sd,scratch_reward_sd,slope_effect_transfer_minus_scratch,cont_effect_transfer_minus_scratch,baimu_ha_effect_transfer_minus_scratch,interpretation,transfer_source,scratch_source
low_budget_5,return_50x16_h5_low_budget,5,15,15,41.638,50.3654,-8.7274,13.6197,18.2766,-0.0362,-0.0039,-174.9103,scratch_higher_reward,paper10_geojepa_mpc\experiments\results\e0_dongxing_low_label_budget_family_summary_2026-06-10.csv,paper10_geojepa_mpc\experiments\results\e0_dongxing_low_label_budget_family_summary_2026-06-10.csv
low_budget_10,return_50x16_h5_low_budget,10,15,15,44.3382,47.797,-3.4588,17.4339,12.0601,-0.0657,-0.0059,-246.4958,scratch_higher_reward,paper10_geojepa_mpc\experiments\results\e0_dongxing_low_label_budget_family_summary_2026-06-10.csv,paper10_geojepa_mpc\experiments\results\e0_dongxing_low_label_budget_family_summary_2026-06-10.csv
low_budget_20,return_50x16_h5_low_budget,20,15,15,44.708,40.4596,4.2484,19.4261,12.4674,-0.0612,-0.0055,-262.1298,transfer_higher_reward,paper10_geojepa_mpc\experiments\results\e0_dongxing_low_label_budget_family_summary_2026-06-10.csv,paper10_geojepa_mpc\experiments\results\e0_dongxing_low_label_budget_family_summary_2026-06-10.csv
pairwise_1000s,pairwise_1000s,,15,15,37.8893925916614,40.2110803350696,-2.3216877434,14.1352633600858,13.6594641971396,-0.0371680239,-0.0090931619,-256.7574192788,scratch_higher_reward,paper10_geojepa_mpc\experiments\results\e0_dongxing_return_label_20x16_family_2026-06-10.csv,paper10_geojepa_mpc\experiments\results\e0_dongxing_return_label_20x16_family_2026-06-10.csv
return_20x16_h5,return_20x16_h5,,15,15,41.7733004189559,43.0396799073507,-1.2663794884,10.7533323718661,15.2827215930085,-0.0626468186,-0.0083788866,-303.094420622,scratch_higher_reward,paper10_geojepa_mpc\experiments\results\e0_dongxing_return_label_20x16_family_2026-06-10.csv,paper10_geojepa_mpc\experiments\results\e0_dongxing_return_label_20x16_family_2026-06-10.csv
return_50x16_h5,return_50x16_h5,,15,15,51.6182891684444,55.7324381574268,-4.114148989,18.0526685790304,19.9277864758067,-0.028157689,-0.0030699261,-154.9497306594,scratch_higher_reward,paper10_geojepa_mpc\experiments\results\e0_dongxing_return_label_50x16_family_2026-06-10.csv,paper10_geojepa_mpc\experiments\results\e0_dongxing_return_label_50x16_family_2026-06-10.csv
